Breakout environment created!
adjust env with 4 consec images stacked can be created
DQN agent created
Starts training on cuda:0
buffer size = 1, epsilon = 1.00000
buffer size = 10000, epsilon = 0.32050
buffer size = 10000, epsilon = 0.31600
buffer size = 10000, epsilon = 0.31150
buffer size = 10000, epsilon = 0.30700
buffer size = 10000, epsilon = 0.30250
buffer size = 10000, epsilon = 0.29800
buffer size = 10000, epsilon = 0.29350
buffer size = 10000, epsilon = 0.28900
buffer size = 10000, epsilon = 0.28450
buffer size = 10000, epsilon = 0.28000
checkpointing ...
buffer size = 10000, epsilon = 0.27550
buffer size = 10000, epsilon = 0.27100
buffer size = 10000, epsilon = 0.26650
buffer size = 10000, epsilon = 0.26200
buffer size = 10000, epsilon = 0.25750
buffer size = 10000, epsilon = 0.25300
buffer size = 10000, epsilon = 0.24850
buffer size = 10000, epsilon = 0.24400
buffer size = 10000, epsilon = 0.23950
buffer size = 10000, epsilon = 0.23500
checkpointing ...
buffer size = 10000, epsilon = 0.23050
buffer size = 10000, epsilon = 0.22600
buffer size = 10000, epsilon = 0.22150
buffer size = 10000, epsilon = 0.21700
buffer size = 10000, epsilon = 0.21250
buffer size = 10000, epsilon = 0.20800
buffer size = 10000, epsilon = 0.20350
buffer size = 10000, epsilon = 0.19900
buffer size = 10000, epsilon = 0.19450
buffer size = 10000, epsilon = 0.19000
checkpointing ...
buffer size = 10000, epsilon = 0.18550
buffer size = 10000, epsilon = 0.18100
buffer size = 10000, epsilon = 0.17650
buffer size = 10000, epsilon = 0.17200
buffer size = 10000, epsilon = 0.16750
buffer size = 10000, epsilon = 0.16300
buffer size = 10000, epsilon = 0.15850
buffer size = 10000, epsilon = 0.15400
buffer size = 10000, epsilon = 0.14950
buffer size = 10000, epsilon = 0.14500
checkpointing ...
buffer size = 10000, epsilon = 0.14050
buffer size = 10000, epsilon = 0.13600
buffer size = 10000, epsilon = 0.13150
buffer size = 10000, epsilon = 0.12700
buffer size = 10000, epsilon = 0.12250
buffer size = 10000, epsilon = 0.11800
buffer size = 10000, epsilon = 0.11350
buffer size = 10000, epsilon = 0.10900
buffer size = 10000, epsilon = 0.10450
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
checkpointing ...
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
buffer size = 10000, epsilon = 0.10000
